dataset,group,model,engine,execution_mode,run_date,pycaret_version,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape,time
M3,Other,lasso_cds_dt,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,6.549,6.165,2.033
M3,Other,lightgbm_cds_dt,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,7.759,7.033,1.933
M3,Other,llar_cds_dt,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,6.912,6.536,1.933
M3,Other,lr_cds_dt,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,6.547,6.169,1.917
M3,Other,naive,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,7.025,6.302,1.483
M3,Other,omp_cds_dt,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,6.284,5.947,1.933
M3,Other,par_cds_dt,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,229208.791,22.025,1.933
M3,Other,polytrend,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,9.999,9.599,1.5
M3,Other,prophet,ray,native,2023-01-07,3.0.0.rc6,174.0,100.0,0.0,0.0,,6.75,6.346,3.25
M3,Other,rf_cds_dt,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,5.851,5.588,2.15
M3,Other,ridge_cds_dt,ray,native,2023-01-06,3.0.0.rc6,174.0,100.0,0.0,0.0,,6.547,6.169,1.95
M3,Other,snaive,ray,native,2023-01-06,3.0.0.rc6,174.0,39.08045977011494,60.91954022988506,0.0,naive,4.854,4.368,1.517
M3,Other,tbats,ray,native,2023-01-07,3.0.0.rc6,174.0,95.40229885057471,4.597701149425291,0.0,naive,4.722,4.262,13.167
M3,Other,theta,ray,native,2023-01-06,3.0.0.rc6,174.0,98.85057471264368,1.1494252873563227,0.0,naive,5.333,4.787,1.517
M3,Quarterly,ada_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,13.926,10.41,6.15
M3,Quarterly,arima,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,12.453,10.049,5.233
M3,Quarterly,auto_arima,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,13.187,10.046,10.383
M3,Quarterly,bats,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,12.565,9.976,24.617
M3,Quarterly,br_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,13.811,10.739,5.7
M3,Quarterly,croston,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,18.642,16.124,4.6
M3,Quarterly,dt_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,15.529,12.258,5.683
M3,Quarterly,en_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,14.017,10.955,5.683
M3,Quarterly,ensemble_forecaster,ray,native,,,756.0,,,,,,,
M3,Quarterly,et_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,14.282,10.809,6.517
M3,Quarterly,ets,ray,native,2023-01-07,3.0.0.rc6,756.0,99.86772486772487,0.13227513227512588,0.0,naive,13.248,10.931,4.75
M3,Quarterly,exp_smooth,ray,native,2023-01-07,3.0.0.rc6,756.0,99.86772486772487,0.13227513227512588,0.0,naive,13.301,11.134,4.417
M3,Quarterly,gbr_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,14.699,11.236,6.0
M3,Quarterly,grand_means,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,27.347,26.582,4.683
M3,Quarterly,huber_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,99.73544973544973,0.264550264550266,0.0,naive,13.536,10.355,5.817
M3,Quarterly,knn_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,13.953,10.605,5.65
M3,Quarterly,lar_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,4.303449408381484e+134,11.198,5.633
M3,Quarterly,lasso_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,14.017,10.955,5.7
M3,Quarterly,lightgbm_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,15.123,12.089,5.683
M3,Quarterly,llar_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,14.082,11.028,5.667
M3,Quarterly,lr_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,14.015,10.952,5.75
M3,Quarterly,naive,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,14.232,11.323,4.683
M3,Quarterly,omp_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,13.644,10.626,5.817
M3,Quarterly,par_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,38444030.712,36.03,5.683
M3,Quarterly,polytrend,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,18.111,14.451,4.6
M3,Quarterly,prophet,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,17.24,13.766,13.217
M3,Quarterly,rf_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,13.572,10.134,6.55
M3,Quarterly,ridge_cds_dt,ray,native,2023-01-07,3.0.0.rc6,756.0,100.0,0.0,0.0,,14.015,10.952,5.633
M3,Quarterly,snaive,ray,native,2023-01-07,3.0.0.rc6,756.0,56.74603174603175,43.25396825396825,0.0,naive,8.475,5.984,4.717
M3,Quarterly,tbats,ray,native,2023-01-07,3.0.0.rc6,756.0,86.24338624338624,13.75661375661376,0.0,naive,11.711,8.972,47.25
M3,Quarterly,theta,ray,native,2023-01-07,3.0.0.rc6,756.0,99.86772486772487,0.13227513227512588,0.0,naive,11.764,9.192,4.217
M3,Yearly,ada_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,25.146,19.614,4.683
M3,Yearly,arima,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,21.812,19.717,3.85
M3,Yearly,auto_arima,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,22.173,17.585,5.767
M3,Yearly,bats,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,23.64,17.913,18.65
M3,Yearly,br_cds_dt,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,26.296,19.472,4.45
M3,Yearly,croston,ray,native,2023-01-07,3.0.0.rc6,645.0,100.0,0.0,0.0,,35.862,37.402,3.4
