os,python_version,library,library_version,dataset,group,model,model_engine,execution_engine,execution_mode,run_date,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape,time
,,pycaret,,M3,Quarterly,croston,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,dt_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,en_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,en_cds_dt,sklearnex,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,ensemble_forecaster,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,et_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,ets,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,exp_smooth,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,gbr_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,grand_means,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,huber_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,knn_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,knn_cds_dt,sklearnex,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,lar_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,lasso_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,lasso_cds_dt,sklearnex,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,lightgbm_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,llar_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,lr_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,lr_cds_dt,sklearnex,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,naive,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,omp_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,par_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,polytrend,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,prophet,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,rf_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,ridge_cds_dt,sklearn,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,ridge_cds_dt,sklearnex,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,snaive,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,tbats,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Quarterly,theta,None,,native,,756.0,,,,,,,
,,pycaret,,M3,Yearly,ada_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,arima,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,bats,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,br_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,croston,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,dt_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,en_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,en_cds_dt,sklearnex,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,ensemble_forecaster,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,et_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,ets,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,exp_smooth,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,gbr_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,grand_means,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,huber_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,knn_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,knn_cds_dt,sklearnex,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,lar_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,lasso_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,lasso_cds_dt,sklearnex,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,lightgbm_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,llar_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,lr_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,lr_cds_dt,sklearnex,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,naive,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,omp_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,par_cds_dt,sklearn,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,polytrend,None,,native,,645.0,,,,,,,
,,pycaret,,M3,Yearly,prophet,None,,native,,645.0,,,,,,,
