os,python_version,library,library_version,dataset,group,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,count_ts,primary_model_per,backup_model_per,no_model_per,backup_model,mape,smape
,,pycaret,,M3,Other,tbats,None,,ray,,native,,174.0,,,,,,
,,pycaret,,M3,Other,theta,None,,ray,,native,,174.0,,,,,,
,,pycaret,,M3,Quarterly,ada_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,arima,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,bats,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,br_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,croston,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,dt_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,en_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,en_cds_dt,sklearnex,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,ensemble_forecaster,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,et_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,ets,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,exp_smooth,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,gbr_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,grand_means,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,huber_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,knn_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,knn_cds_dt,sklearnex,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,lar_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,lasso_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,lasso_cds_dt,sklearnex,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,lightgbm_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,llar_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,lr_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,lr_cds_dt,sklearnex,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,naive,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,omp_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,par_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,polytrend,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,prophet,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,rf_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,ridge_cds_dt,sklearn,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,ridge_cds_dt,sklearnex,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,snaive,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,tbats,None,,ray,,native,,756.0,,,,,,
,,pycaret,,M3,Quarterly,theta,None,,ray,,native,,756.0,,,,,,
