dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,mase,no_model_per,owa,primary_model_per,run_date,smape,time
M4,Hourly,pycaret,3.0.0.rc8,snaive,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,25.437,2.8605,0.0,1.2994,100.0,2023-01-22,25.8184,10.05
M4,Hourly,pycaret,3.0.0.rc8,theta,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,28.0722,3.8148,0.0,1.5734,100.0,2023-01-22,28.5687,10.8667
M4,Hourly,pycaret,3.0.0.rc9,ada_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,57.0372,2.6654,0.0,1.2599,100.0,2023-02-11,25.8643,10.8
M4,Hourly,pycaret,3.0.0.rc9,arima,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,30.7001,4.7259,0.0,1.9746,100.0,2023-02-11,36.3239,3.9
M4,Hourly,pycaret,3.0.0.rc9,br_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3464,1.9508,0.0,0.9574,100.0,2023-02-11,20.228,9.4667
M4,Hourly,pycaret,3.0.0.rc9,catboost_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,45.3705,1.6738,0.0,0.9248,100.0,2023-02-11,21.1529,22.2167
M4,Hourly,pycaret,3.0.0.rc9,croston,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,73.2588,10.763,0.0,3.1756,100.0,2023-02-11,34.1438,2.3167
M4,Hourly,pycaret,3.0.0.rc9,dt_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,29.5205,1.5238,0.0,0.9032,100.0,2023-02-11,21.5118,9.45
M4,Hourly,pycaret,3.0.0.rc9,en_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.0601,2.9519,0.0,1.1855,100.0,2023-02-11,20.9281,9.55
M4,Hourly,pycaret,3.0.0.rc9,et_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,48.7302,1.684,0.0,0.9045,100.0,2023-02-11,20.3291,12.1667
M4,Hourly,pycaret,3.0.0.rc9,ets,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,414.0,37.717,11.6077,0.0,3.5929,0.0,2023-02-11,43.003,4.9
M4,Hourly,pycaret,3.0.0.rc9,exp_smooth,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,101.5441,12.0148,0.0,4.1898,100.0,2023-02-11,61.8234,3.0667
M4,Hourly,pycaret,3.0.0.rc9,gbr_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,43.0852,2.2629,0.0,1.0868,100.0,2023-02-11,22.5894,10.6833
M4,Hourly,pycaret,3.0.0.rc9,grand_means,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,85.7816,11.6862,0.0,3.3688,100.0,2023-02-11,34.161,2.55
M4,Hourly,pycaret,3.0.0.rc9,huber_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,34.1304,1.9227,0.0,0.9585,100.0,2023-02-11,20.4814,9.6
M4,Hourly,pycaret,3.0.0.rc9,knn_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,44.6077,1.9515,0.0,0.9821,100.0,2023-02-11,21.1301,9.6667
M4,Hourly,pycaret,3.0.0.rc9,lar_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2415,414.0,1.2974491346143155e+51,1.9031982078846398e+50,0.0,3.9732075505272307e+49,99.7585,2023-02-11,23.982,9.3833
M4,Hourly,pycaret,3.0.0.rc9,lasso_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.1052,2.9801,0.0,1.1925,100.0,2023-02-11,20.9681,9.45
M4,Hourly,pycaret,3.0.0.rc9,lightgbm_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,48.5804,1.962,0.0,1.0095,100.0,2023-02-11,22.0548,9.7333
M4,Hourly,pycaret,3.0.0.rc9,llar_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,41.1047,2.98,0.0,1.1924,100.0,2023-02-11,20.9676,9.45
M4,Hourly,pycaret,3.0.0.rc9,lr_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3434,1.9498,0.0,0.9575,100.0,2023-02-11,20.2385,9.4167
M4,Hourly,pycaret,3.0.0.rc9,naive,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,37.717,11.6077,0.0,3.5929,100.0,2023-02-11,43.003,2.5167
M4,Hourly,pycaret,3.0.0.rc9,omp_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,39.5372,2.5206,0.0,1.1115,100.0,2023-02-11,21.5176,9.4833
M4,Hourly,pycaret,3.0.0.rc9,par_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,3.581431102122275e+25,1.1248814405769126e+24,0.0,2.348356264015064e+23,100.0,2023-02-11,66.8714,9.5
M4,Hourly,pycaret,3.0.0.rc9,polytrend,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,85.0169,10.5521,0.0,3.1048,100.0,2023-02-11,33.1587,2.5667
M4,Hourly,pycaret,3.0.0.rc9,prophet,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,414.0,37.717,11.6077,0.0,3.5929,0.0,2023-02-11,43.003,2.65
M4,Hourly,pycaret,3.0.0.rc9,rf_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,47.0899,1.6438,0.0,0.8958,100.0,2023-02-11,20.3176,13.6
M4,Hourly,pycaret,3.0.0.rc9,ridge_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,40.3511,1.9669,0.0,0.9613,100.0,2023-02-11,20.2459,9.5
M4,Hourly,pycaret,3.0.0.rc9,snaive,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,25.437,2.8605,0.0,1.2994,100.0,2023-02-11,25.8184,2.5667
M4,Hourly,pycaret,3.0.0.rc9,theta,sktime,0.16.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,28.0722,3.8148,0.0,1.5734,100.0,2023-02-11,28.5687,2.5667
M4,Hourly,pycaret,3.0.0.rc9,xgboost_cds_dt,sklearn,1.2.1,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,43.0693,1.8923,0.0,1.0182,100.0,2023-02-11,22.9114,10.25
M4,Hourly,pycaret,38f01856b5ca14ca79aa800677b489c381d5aa71,ets,sktime,0.15.0,ray,2.0.1,native,,8,naive,3.9.15,win32,100.0,414.0,37.717,11.6077,0.0,3.5929,0.0,2023-01-29,43.003,5.7333
M4,Hourly,pycaret,38f01856b5ca14ca79aa800677b489c381d5aa71,exp_smooth,sktime,0.15.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,101.5441,12.0148,0.0,4.1898,100.0,2023-01-29,61.8234,3.4833
M4,Weekly,pycaret,3.0.0,bats,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.2786,359.0,7.0159,2.3369,0.0,0.8069,99.7214,2023-04-21,7.076,217.7167
M4,Weekly,pycaret,3.0.0,ets,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,7.4141,2.2399,0.0,0.8213,100.0,2023-04-21,7.6594,7.5167
M4,Weekly,pycaret,3.0.0,exp_smooth,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,7.4962,2.3391,0.0,0.8461,100.0,2023-04-21,7.7878,3.3667
M4,Weekly,pycaret,3.0.0.rc8,ada_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,12.8353,3.7081,0.0,1.3019,100.0,2023-01-21,11.622,15.35
M4,Weekly,pycaret,3.0.0.rc8,arima,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,8.3399,2.6379,0.0,0.9455,100.0,2023-01-21,8.623,15.8
M4,Weekly,pycaret,3.0.0.rc8,br_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8035,2.3722,0.0,0.9455,100.0,2023-01-21,9.4997,14.6833
M4,Weekly,pycaret,3.0.0.rc8,croston,,,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,10.6954,4.1772,0.0,1.3668,100.0,2023-01-21,11.2636,10.4333
M4,Weekly,pycaret,3.0.0.rc8,dt_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,11.0278,3.2463,0.0,1.1924,100.0,2023-01-21,11.1401,14.95
M4,Weekly,pycaret,3.0.0.rc8,en_cds_dt,sklearn,1.1.3,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,359.0,9.8184,2.6429,0.0,0.9956,100.0,2023-01-21,9.524,14.9
