dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,mase,no_model_per,owa,primary_model_per,run_date,smape,time
M4,Hourly,pycaret,3.0.2,arima_ens_freq_3_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,27.7524,7.7557,0.0,2.3751,100.0,2023-05-21,27.7956,14.7833
M4,Hourly,pycaret,3.0.2,arima_ens_freq_5_False_None_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,24.0756,6.2955,0.0,1.9688,100.0,2023-05-21,24.0633,32.4
M4,Hourly,pycaret,3.0.2,arima_ens_freq_5_True_1_False_None,sktime,0.17.0,ray,2.0.1,native,,8,naive,3.9.15,win32,0.0,414.0,17.5239,1.0736,0.0,0.6835,100.0,2023-05-20,16.8886,40.6333
