dataset,group,library,library_version,model,model_engine,model_engine_version,execution_engine,execution_engine_version,execution_mode,execution_mode_version,num_cpus,backup_model,python_version,os,backup_model_per,count_ts,mape,no_model_per,primary_model_per,run_date,smape,time
M3,Quarterly,pycaret,3.0.0.rc8,auto_arima,pmdarima,2.0.2,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,13.0698,0.0,100.0,2023-01-16,9.8606,11.6333
M3,Quarterly,pycaret,3.0.0.rc8,auto_arima,statsforecast,1.4.0,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,14.2202,0.0,100.0,2023-01-16,12.9109,7.5333
M3,Quarterly,pycaret,3.0.0.rc8,croston,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,18.6417,0.0,100.0,2023-01-15,16.1239,4.8333
M3,Quarterly,pycaret,3.0.0.rc8,ets,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,13.5103,0.0,100.0,2023-01-15,11.0383,5.1167
M3,Quarterly,pycaret,3.0.0.rc8,exp_smooth,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,13.4558,0.0,100.0,2023-01-15,11.1986,5.1833
M3,Quarterly,pycaret,3.0.0.rc8,grand_means,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,27.3466,0.0,100.0,2023-01-15,26.5823,4.8833
M3,Quarterly,pycaret,3.0.0.rc8,naive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,14.2318,0.0,100.0,2023-01-15,11.3228,4.6167
M3,Quarterly,pycaret,3.0.0.rc8,polytrend,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,18.1107,0.0,100.0,2023-01-15,14.4508,4.5667
M3,Quarterly,pycaret,3.0.0.rc8,snaive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,59.127,756.0,6.8281,0.0,40.873,2023-01-15,4.726,4.8333
M3,Quarterly,pycaret,3.0.0.rc8,theta,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,756.0,11.9344,0.0,100.0,2023-01-15,9.2782,4.9667
M3,Yearly,pycaret,3.0.0.rc8,arima,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,21.36,0.0,100.0,2023-01-15,19.2137,4.65
M3,Yearly,pycaret,3.0.0.rc8,auto_arima,pmdarima,2.0.2,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,22.1925,0.0,100.0,2023-01-16,17.5239,6.1667
M3,Yearly,pycaret,3.0.0.rc8,auto_arima,statsforecast,1.4.0,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,24.2704,0.0,100.0,2023-01-16,22.6251,6.2667
M3,Yearly,pycaret,3.0.0.rc8,croston,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,35.8621,0.0,100.0,2023-01-15,37.4025,3.7167
M3,Yearly,pycaret,3.0.0.rc8,ets,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,24.5784,0.0,100.0,2023-01-15,19.3052,4.15
M3,Yearly,pycaret,3.0.0.rc8,exp_smooth,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,24.8909,0.0,100.0,2023-01-15,19.3692,4.1167
M3,Yearly,pycaret,3.0.0.rc8,grand_means,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,40.289,0.0,100.0,2023-01-15,43.6252,3.8167
M3,Yearly,pycaret,3.0.0.rc8,naive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,20.8814,0.0,100.0,2023-01-15,17.8799,3.8667
M3,Yearly,pycaret,3.0.0.rc8,polytrend,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,29.1264,0.0,100.0,2023-01-15,22.92,4.0333
M3,Yearly,pycaret,3.0.0.rc8,snaive,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,97.3643,645.0,0.4373,0.0,2.6357,2023-01-15,0.3665,3.9667
M3,Yearly,pycaret,3.0.0.rc8,theta,,,ray,2.0.1,native,,8.0,naive,3.9.15,win32,0.0,645.0,21.0786,0.0,100.0,2023-01-15,16.7209,3.8833
