unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
W180,657,644,13,True,No,1,0,True,"[13, 39, 4, 26, 22, 9, 48, 35, 52, 17, 5, 30, 18, 31, 44, 8, 43]","[13, 39, 4, 26, 22, 9, 48, 35, 52, 17, 5, 30, 18, 31, 44, 8, 43]",[13],13,"[52, 39, 44, 18, 48, 35, 17, 30, 31, 43]",[52],52,8.0006
W181,1657,1644,13,True,No,1,0,True,"[26, 52, 13, 39, 17, 9, 22, 35, 4]","[26, 52, 13, 39, 17, 9, 22, 35, 4]",[26],26,"[52, 39, 17, 9, 22, 35]",[52],52,19.9895
W182,392,379,13,True,No,1,0,False,[],[1],[1],1,[1],[1],1,6.6263
W183,1657,1644,13,True,No,1,0,True,"[52, 26, 39, 13, 17, 9, 22, 35, 48, 30]","[52, 26, 39, 13, 17, 9, 22, 35, 48, 30]",[52],52,"[52, 39, 17, 9, 22, 35, 48, 30]",[52],52,18.2272
W184,1657,1644,13,True,No,2,0,True,"[26, 52, 48, 2, 4, 13, 22, 39, 50, 24, 30, 35, 9, 28, 44, 17]","[26, 52, 48, 2, 4, 13, 22, 39, 50, 24, 30, 35, 9, 28, 44, 17]",[26],26,"[52, 48, 44, 39, 50, 30, 35, 9, 28, 17]",[52],52,20.2309
W185,1657,1644,13,True,No,2,0,True,"[52, 26, 48, 4, 13, 22, 2, 39, 35, 24, 50, 9, 30, 28, 17, 44]","[52, 26, 48, 4, 13, 22, 2, 39, 35, 24, 50, 9, 30, 28, 17, 44]",[52],52,"[52, 48, 44, 39, 35, 50, 9, 30, 28, 17]",[52],52,19.4619
W186,392,379,13,True,No,1,0,True,"[22, 3, 2, 20]","[22, 3, 2, 20]",[22],22,"[22, 3, 20]",[22],22,7.1239
W187,837,824,13,True,No,1,0,True,"[26, 52, 13, 39, 2, 57, 17, 35, 56, 43, 30, 59, 14]","[26, 52, 13, 39, 2, 57, 17, 35, 56, 43, 30, 59, 14]",[26],26,"[52, 39, 56, 57, 17, 35, 43, 30, 59]",[52],52,10.3483
W188,837,824,13,True,No,1,0,True,"[17, 52, 39, 35, 13, 26, 43, 9, 4, 57, 48]","[17, 52, 39, 35, 13, 26, 43, 9, 4, 57, 48]",[17],17,"[17, 52, 39, 35, 43, 9, 57, 48]",[17],17,10.469
W189,837,824,13,True,No,1,0,True,"[13, 26, 52, 39, 9, 22, 4, 48, 35, 30, 17]","[13, 26, 52, 39, 9, 22, 4, 48, 35, 30, 17]",[13],13,"[52, 39, 9, 22, 48, 35, 30, 17]",[52],52,9.8806
W19,1615,1602,13,True,No,1,0,True,"[52, 26, 27, 53, 25, 5, 32, 57, 13, 47, 39]","[52, 26, 27, 53, 25, 5, 32, 57, 13, 47, 39]",[52],52,"[52, 27, 53, 25, 32, 57, 47, 39]",[52],52,16.3194
W190,837,824,13,True,No,1,0,True,"[52, 13, 26, 2, 39, 14, 54, 43, 57, 41, 11, 30, 35, 59, 17]","[52, 13, 26, 2, 39, 14, 54, 43, 57, 41, 11, 30, 35, 59, 17]",[52],52,"[52, 54, 39, 14, 43, 57, 41, 11, 30, 35, 59, 17]",[52],52,9.2991
W191,837,824,13,True,No,1,0,True,"[13, 10, 39, 37]","[13, 10, 39, 37]",[13],13,"[39, 10, 37]",[39],39,9.3011
W192,837,824,13,True,No,1,0,True,"[13, 17, 35, 39, 52, 41, 26, 4]","[13, 17, 35, 39, 52, 41, 26, 4]",[13],13,"[52, 17, 35, 39, 41]",[52],52,9.4767
W193,837,824,13,True,No,1,0,True,"[13, 39, 52, 22, 5, 26, 44, 9, 35, 8, 34, 30]","[13, 39, 52, 22, 5, 26, 44, 9, 35, 8, 34, 30]",[13],13,"[52, 39, 44, 35, 9, 8, 34, 30]",[52],52,9.5365
W194,837,824,13,True,No,1,0,True,"[9, 13, 52, 35, 26, 17, 39, 4, 57, 21, 43, 22, 30, 18, 48]","[9, 13, 52, 35, 26, 17, 39, 4, 57, 21, 43, 22, 30, 18, 48]",[9],9,"[18, 52, 35, 17, 39, 57, 21, 43, 22, 30, 48]",[18],18,9.4976
W195,837,824,13,True,No,1,0,True,"[52, 2, 13, 9, 4, 26, 22, 11, 39, 50, 41, 17, 15]","[52, 2, 13, 9, 4, 26, 22, 11, 39, 50, 41, 17, 15]",[52],52,"[52, 9, 22, 39, 50, 41, 17, 15]",[52],52,9.2193
W196,837,824,13,True,No,1,0,True,[13],[13],[13],13,[13],[13],13,9.4128
W197,837,824,13,True,No,1,0,True,"[2, 4, 17, 52, 26, 35, 15, 5]","[2, 4, 17, 52, 26, 35, 15, 5]",[2],2,"[52, 17, 35, 15]",[52],52,9.0707
W198,837,824,13,True,No,1,0,True,"[13, 52, 26, 39, 4, 9, 22, 48, 35, 30, 17, 43]","[13, 52, 26, 39, 4, 9, 22, 48, 35, 30, 17, 43]",[13],13,"[52, 39, 9, 22, 48, 35, 30, 17, 43]",[52],52,8.9396
W199,837,824,13,True,No,1,0,True,"[2, 4, 5, 3, 9, 7, 6, 8, 52]","[2, 4, 5, 3, 9, 7, 6, 8, 52]",[2],2,"[52, 5, 9, 7, 6, 8]",[52],52,9.0005
W2,1723,1710,13,True,No,2,0,True,"[4, 13, 52, 9, 22, 56, 39, 31, 18, 27, 35, 26, 57, 25, 48, 40, 17, 30, 21, 5]","[4, 13, 52, 9, 22, 56, 39, 31, 18, 27, 35, 26, 57, 25, 48, 40, 17, 30, 21, 5]",[4],4,"[56, 52, 27, 22, 39, 31, 18, 35, 57, 25, 48, 40, 17, 30, 21]",[56],56,16.664
W20,1615,1602,13,True,No,1,0,True,"[52, 13, 26, 39, 4, 17, 48, 35, 22, 57, 5, 31, 9, 18, 8, 21, 44]","[52, 13, 26, 39, 4, 17, 48, 35, 22, 57, 5, 31, 9, 18, 8, 21, 44]",[52],52,"[52, 39, 17, 48, 35, 44, 57, 31, 18, 21]",[52],52,15.1301
W200,837,824,13,True,No,1,0,True,"[13, 26, 52, 39, 2, 4, 3, 53]","[13, 26, 52, 39, 2, 4, 3, 53]",[13],13,"[52, 39, 53]",[52],52,8.4619
W201,837,824,13,True,No,1,0,True,"[52, 2, 4, 9, 13]","[52, 2, 4, 9, 13]",[52],52,"[52, 9]",[52],52,8.6434
W202,837,824,13,True,No,1,0,True,"[52, 17, 35, 13, 39, 26, 4, 43, 2, 9, 48]","[52, 17, 35, 13, 39, 26, 4, 43, 2, 9, 48]",[52],52,"[52, 17, 35, 39, 43, 9, 48]",[52],52,8.5208
W203,837,824,13,True,No,1,0,True,"[52, 49, 51]","[52, 49, 51]",[52],52,"[52, 49, 51]",[52],52,8.5876
W204,1311,1298,13,True,No,1,0,True,"[52, 53, 51, 17, 30, 22, 35, 39, 13, 18, 34, 36]","[52, 53, 51, 17, 30, 22, 35, 39, 13, 18, 34, 36]",[52],52,"[52, 53, 51, 30, 22, 35, 39, 36, 34]",[52],52,11.9371
W205,947,934,13,True,No,1,0,True,"[13, 4, 22, 18, 9, 26]","[13, 4, 22, 18, 9, 26]",[13],13,"[26, 4, 22, 18]",[26],26,8.8673
W206,947,934,13,True,No,1,0,True,"[13, 39]","[13, 39]",[13],13,[39],[39],39,9.3161
W207,947,934,13,True,No,1,0,True,"[4, 2, 3, 22, 7]","[4, 2, 3, 22, 7]",[4],4,"[4, 22, 3, 7]",[4],4,9.3989
W208,947,934,13,True,No,1,0,True,"[13, 52, 4, 9, 26, 39, 22, 17, 35, 48, 30, 5, 18, 31, 8, 43, 56, 57, 21, 44]","[13, 52, 4, 9, 26, 39, 22, 17, 35, 48, 30, 5, 18, 31, 8, 43, 56, 57, 21, 44]",[13],13,"[52, 56, 18, 39, 44, 17, 35, 48, 30, 31, 43, 57, 21]",[52],52,8.6648
W209,947,934,13,True,No,1,0,True,"[25, 27, 26]","[25, 27, 26]",[25],25,"[25, 27, 26]",[25],25,8.8194
W21,1615,1602,13,True,No,1,0,True,"[52, 26, 13, 39, 53, 4, 27, 48, 25, 35]","[52, 26, 13, 39, 53, 4, 27, 48, 25, 35]",[52],52,"[52, 39, 53, 27, 48, 25, 35]",[52],52,14.4314
W210,947,934,13,True,No,1,0,True,"[13, 9, 52, 4, 39, 35, 26, 30, 22, 48, 17, 56, 43, 18, 5]","[13, 9, 52, 4, 39, 35, 26, 30, 22, 48, 17, 56, 43, 18, 5]",[13],13,"[52, 18, 56, 39, 35, 30, 22, 48, 17, 43]",[52],52,9.1595
W211,947,934,13,True,No,2,0,False,[],[1],[1],1,[1],[1],1,9.2413
W212,947,934,13,True,No,1,0,True,"[4, 13, 14, 56, 22, 26]","[4, 13, 14, 56, 22, 26]",[4],4,"[56, 26, 22]",[56],56,9.1794
W213,947,934,13,True,No,1,0,True,"[4, 3, 7, 2, 14]","[4, 3, 7, 2, 14]",[4],4,"[4, 3, 14]",[4],4,9.0797
W214,947,934,13,True,No,1,0,False,[],[1],[1],1,[1],[1],1,9.5854
W215,947,934,13,True,No,2,0,True,"[39, 51]","[39, 51]",[39],39,"[39, 51]",[39],39,9.6612
W216,947,934,13,True,No,2,0,False,[],[1],[1],1,[1],[1],1,9.738
W217,459,446,13,True,No,1,0,True,"[12, 39, 2, 37]","[12, 39, 2, 37]",[12],12,"[12, 39, 37]",[12],12,5.6788
W218,470,457,13,True,No,1,0,True,"[15, 3]","[15, 3]",[15],15,[15],[15],15,5.7177
W219,591,578,13,True,No,1,0,True,"[13, 39, 52, 7, 20, 6]","[13, 39, 52, 7, 20, 6]",[13],13,"[52, 39, 7, 20, 6]",[52],52,6.2782
W22,1620,1607,13,True,No,1,0,True,"[52, 3, 44]","[52, 3, 44]",[52],52,"[52, 3, 44]",[52],52,14.4194
W220,445,432,13,True,No,1,0,True,"[13, 26, 39, 52, 6]","[13, 26, 39, 52, 6]",[13],13,"[52, 39, 6]",[52],52,5.1791
W221,1100,1087,13,True,No,1,0,True,"[26, 13, 39, 52, 4, 2]","[26, 13, 39, 52, 4, 2]",[26],26,"[52, 39]",[52],52,9.8945
W222,1100,1087,13,True,No,1,0,True,"[13, 52, 26, 39, 22, 35, 9, 4, 17, 48, 30, 44, 57, 31]","[13, 52, 26, 39, 22, 35, 9, 4, 17, 48, 30, 44, 57, 31]",[13],13,"[52, 39, 44, 35, 9, 17, 48, 30, 57, 31]",[52],52,10.1439
W223,1220,1207,13,True,No,1,0,True,"[39, 13, 26, 48, 52]","[39, 13, 26, 48, 52]",[39],39,"[39, 52, 48]",[39],39,11.1631
W224,2609,2596,13,True,No,1,0,True,"[52, 4, 48, 5, 2, 47, 57, 50, 56, 26, 25, 27, 6, 58, 54, 53, 8]","[52, 4, 48, 5, 2, 47, 57, 50, 56, 26, 25, 27, 6, 58, 54, 53, 8]",[52],52,"[52, 56, 48, 50, 58, 47, 57, 54, 53]",[52],52,22.077
W225,1615,1602,13,True,No,1,0,True,"[52, 26, 53, 27, 5, 25, 47, 57]","[52, 26, 53, 27, 5, 25, 47, 57]",[52],52,"[52, 53, 27, 25, 47, 57]",[52],52,13.7103
W226,1615,1602,13,True,No,1,0,True,"[52, 2, 4, 13, 50, 54, 26, 38]","[52, 2, 4, 13, 50, 54, 26, 38]",[52],52,"[52, 54, 50, 38]",[52],52,13.7253
