unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
W208,947,934,13,True,No,1,0,True,mul,"[13, 52, 4, 9, 26, 39, 22, 17, 35, 48, 30, 5, 18, 31, 8, 43, 56, 57, 21, 44]","[13, 52, 4, 9, 26, 39, 22, 17, 35, 48, 30, 5, 18, 31, 8, 43, 56, 57, 21, 44]",[13],13,"[52, 56, 18, 39, 44, 17, 35, 48, 30, 31, 43, 57, 21]",[52],52,3.742
W209,947,934,13,True,No,1,0,True,mul,"[25, 27, 26]","[25, 27, 26]",[25],25,"[25, 27, 26]",[25],25,3.9873
W21,1615,1602,13,True,No,1,0,True,mul,"[52, 26, 13, 39, 53, 4, 27, 48, 25, 35]","[52, 26, 13, 39, 53, 4, 27, 48, 25, 35]",[52],52,"[52, 39, 53, 27, 48, 25, 35]",[52],52,4.1699
W210,947,934,13,True,No,1,0,True,mul,"[13, 9, 52, 4, 39, 35, 26, 30, 22, 48, 17, 56, 43, 18, 5]","[13, 9, 52, 4, 39, 35, 26, 30, 22, 48, 17, 56, 43, 18, 5]",[13],13,"[52, 18, 56, 39, 35, 30, 22, 48, 17, 43]",[52],52,3.8038
W211,947,934,13,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.6569
W214,947,934,13,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.8504
W213,947,934,13,True,No,1,0,True,mul,"[4, 3, 7, 2, 14]","[4, 3, 7, 2, 14]",[4],4,"[4, 3, 14]",[4],4,3.4428
W212,947,934,13,True,No,1,0,True,mul,"[4, 13, 14, 56, 22, 26]","[4, 13, 14, 56, 22, 26]",[4],4,"[56, 26, 22]",[56],56,4.0452
W215,947,934,13,True,No,2,0,True,mul,"[39, 51]","[39, 51]",[39],39,"[39, 51]",[39],39,3.728
W216,947,934,13,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.6758
W217,459,446,13,True,No,1,0,True,mul,"[12, 39, 2, 37]","[12, 39, 2, 37]",[12],12,"[12, 39, 37]",[12],12,2.7895
W218,470,457,13,True,No,1,0,True,mul,"[15, 3]","[15, 3]",[15],15,[15],[15],15,3.0479
W219,591,578,13,True,No,1,0,True,mul,"[13, 39, 52, 7, 20, 6]","[13, 39, 52, 7, 20, 6]",[13],13,"[52, 39, 7, 20, 6]",[52],52,3.2932
W22,1620,1607,13,True,No,1,0,True,mul,"[52, 3, 44]","[52, 3, 44]",[52],52,"[52, 3, 44]",[52],52,3.3879
W220,445,432,13,True,No,1,0,True,mul,"[13, 26, 39, 52, 6]","[13, 26, 39, 52, 6]",[13],13,"[52, 39, 6]",[52],52,3.3231
W221,1100,1087,13,True,No,1,0,True,mul,"[26, 13, 39, 52, 4, 2]","[26, 13, 39, 52, 4, 2]",[26],26,"[52, 39]",[52],52,3.4199
W222,1100,1087,13,True,No,1,0,True,mul,"[13, 52, 26, 39, 22, 35, 9, 4, 17, 48, 30, 44, 57, 31]","[13, 52, 26, 39, 22, 35, 9, 4, 17, 48, 30, 44, 57, 31]",[13],13,"[52, 39, 44, 35, 9, 17, 48, 30, 57, 31]",[52],52,3.4558
W223,1220,1207,13,True,No,1,0,True,mul,"[39, 13, 26, 48, 52]","[39, 13, 26, 48, 52]",[39],39,"[39, 52, 48]",[39],39,3.6183
W225,1615,1602,13,True,No,1,0,True,mul,"[52, 26, 53, 27, 5, 25, 47, 57]","[52, 26, 53, 27, 5, 25, 47, 57]",[52],52,"[52, 53, 27, 25, 47, 57]",[52],52,3.2812
W226,1615,1602,13,True,No,1,0,True,mul,"[52, 2, 4, 13, 50, 54, 26, 38]","[52, 2, 4, 13, 50, 54, 26, 38]",[52],52,"[52, 54, 50, 38]",[52],52,3.379
