unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
H352,1008,960,48,True,No,0,0,True,"[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4, 45]","[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 46, 50, 21, 27, 4, 45]",[24],24,"[48, 46, 50, 47, 22, 49, 26, 21, 27, 45]",[48],48,8.8214
H353,1008,960,48,True,No,0,1,True,"[2, 3, 24, 23, 25, 22, 26, 48, 21, 47, 4, 49, 46, 50, 27, 20, 45, 51, 5, 28, 19, 44, 52]","[2, 3, 24, 23, 25, 22, 26, 48, 21, 47, 4, 49, 46, 50, 27, 20, 45, 51, 5, 28, 19, 44, 52]",[2],2,"[52, 51, 48, 46, 50, 44, 21, 47, 49, 27, 20, 45, 28, 19]",[52],52,8.5781
H354,1008,960,48,True,No,0,0,True,"[2, 3, 24, 23, 25, 22, 4, 26, 48, 47, 21, 49, 46, 27, 50, 20, 5, 45, 51, 28, 44]","[2, 3, 24, 23, 25, 22, 4, 26, 48, 47, 21, 49, 46, 27, 50, 20, 5, 45, 51, 28, 44]",[2],2,"[50, 51, 48, 46, 44, 26, 47, 21, 49, 27, 20, 45, 28]",[50],50,8.3995
H355,1008,960,48,True,No,0,0,True,"[24, 23, 2, 25, 48, 22, 47, 49, 26, 3, 46, 21, 50, 27, 4, 45, 20, 51, 28, 5]","[24, 23, 2, 25, 48, 22, 47, 49, 26, 3, 46, 21, 50, 27, 4, 45, 20, 51, 28, 5]",[24],24,"[48, 46, 50, 22, 47, 49, 26, 51, 21, 27, 45, 20, 28]",[48],48,8.8593
H356,1008,960,48,True,No,0,0,True,"[2, 24, 23, 25, 22, 3, 48, 26, 47, 49, 46, 21, 50, 27, 4, 45, 20, 51]","[2, 24, 23, 25, 22, 3, 48, 26, 47, 49, 46, 21, 50, 27, 4, 45, 20, 51]",[2],2,"[50, 48, 46, 22, 51, 26, 47, 49, 21, 27, 45, 20]",[50],50,9.2542
H357,1008,960,48,True,No,0,0,True,"[24, 2, 23, 25, 48, 22, 47, 49, 26, 3, 46, 21, 50, 27, 4, 45, 20, 51]","[24, 2, 23, 25, 48, 22, 47, 49, 26, 3, 46, 21, 50, 27, 4, 45, 20, 51]",[24],24,"[48, 50, 46, 22, 47, 49, 26, 51, 21, 27, 45, 20]",[48],48,8.5601
H358,1008,960,48,True,No,0,0,True,"[2, 3, 4, 24, 23, 25, 22, 5, 48, 26, 21, 47, 49, 46, 50, 27, 20, 45, 6, 51, 28, 19]","[2, 3, 4, 24, 23, 25, 22, 5, 48, 26, 21, 47, 49, 46, 50, 27, 20, 45, 6, 51, 28, 19]",[2],2,"[50, 51, 48, 46, 22, 26, 21, 47, 49, 27, 20, 45, 28, 19]",[50],50,9.0059
H359,1008,960,48,True,No,0,0,True,"[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 21, 46, 50, 27]","[24, 23, 25, 2, 48, 47, 22, 49, 26, 3, 21, 46, 50, 27]",[24],24,"[48, 46, 50, 47, 22, 49, 26, 21, 27]",[48],48,9.2582
H36,748,700,48,True,No,1,0,True,"[24, 2, 23, 25, 48, 22, 3, 47, 49, 26, 21, 46, 50, 4, 27, 45, 20, 51, 28]","[24, 2, 23, 25, 48, 22, 3, 47, 49, 26, 21, 46, 50, 4, 27, 45, 20, 51, 28]",[24],24,"[48, 50, 46, 22, 51, 47, 49, 26, 21, 27, 45, 20, 28]",[48],48,7.113
H360,1008,960,48,True,No,0,0,True,"[2, 3, 23, 24, 4, 22, 25, 21, 26, 20, 5, 27, 48, 47, 19, 49, 46, 50, 45, 6, 28, 18]","[2, 3, 23, 24, 4, 22, 25, 21, 26, 20, 5, 27, 48, 47, 19, 49, 46, 50, 45, 6, 28, 18]",[2],2,"[50, 48, 46, 22, 21, 26, 20, 27, 47, 19, 49, 45, 28, 18]",[50],50,8.6259
