unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
H162,748,700,48,True,No,0,0,True,"[24, 2, 25, 23, 4, 3, 48, 168, 72, 5, 144, 26, 22, 47, 49, 167, 28, 96, 169, 20, 27, 21, 71, 73, 192, 143, 120, 145, 95, 97, 29, 46]","[24, 2, 25, 23, 4, 3, 48, 168, 72, 5, 144, 26, 22, 47, 49, 167, 28, 96, 169, 20, 27, 21, 71, 73, 192, 143, 120, 145, 95, 97, 29, 46]",[24],24,"[192, 25, 46, 168, 144, 145, 26, 22, 47, 49, 167, 169, 120, 27, 71, 73, 143, 95, 97]",[192],192,7.3882
H163,748,700,48,True,No,0,0,True,"[2, 24, 3, 23, 25, 4, 22, 26, 48, 168, 21, 144, 27, 47, 49, 5, 20, 167, 72, 143, 169, 120, 28, 96, 145, 46, 50, 71, 73, 119, 166, 142, 95, 121, 192, 97]","[2, 24, 3, 23, 25, 4, 22, 26, 48, 168, 21, 144, 27, 47, 49, 5, 20, 167, 72, 143, 169, 120, 28, 96, 145, 46, 50, 71, 73, 119, 166, 142, 95, 121, 192, 97]",[2],2,"[192, 46, 50, 22, 26, 168, 144, 27, 47, 49, 145, 120, 167, 143, 169, 142, 73, 119, 166, 95, 121, 97]",[192],192,7.3144
H164,748,700,48,True,No,0,0,True,"[2, 24, 23, 25, 3, 22, 26, 48, 47, 49, 4, 21, 72, 27, 46, 50, 73, 71, 96, 20, 70, 45, 74, 95, 97, 51, 28, 5, 120, 119, 94, 121, 144, 98, 69, 75]","[2, 24, 23, 25, 3, 22, 26, 48, 47, 49, 4, 21, 72, 27, 46, 50, 73, 71, 96, 20, 70, 45, 74, 95, 97, 51, 28, 5, 120, 119, 94, 121, 144, 98, 69, 75]",[2],2,"[144, 69, 75, 22, 26, 94, 98, 21, 27, 46, 50, 73, 71, 96, 120, 70, 45, 74, 95, 97, 51, 28, 119, 121]",[144],144,6.9923
H165,748,700,48,True,No,0,0,True,"[2, 3, 24, 23, 25, 4, 22, 26, 21, 27, 168, 5, 48, 167, 169, 20, 47, 49, 144, 28, 143, 145, 72, 96, 120, 166, 46, 170, 50, 71, 73, 95, 97, 121, 119]","[2, 3, 24, 23, 25, 4, 22, 26, 21, 27, 168, 5, 48, 167, 169, 20, 47, 49, 144, 28, 143, 145, 72, 96, 120, 166, 46, 170, 50, 71, 73, 95, 97, 121, 119]",[2],2,"[170, 168, 46, 50, 22, 26, 27, 144, 167, 169, 120, 47, 49, 143, 145, 96, 166, 71, 73, 95, 97, 121, 119]",[170],170,7.2376
H166,748,700,48,True,No,0,0,True,"[2, 3, 24, 23, 25, 22, 4, 26, 21, 168, 27, 5, 167, 169, 48, 144, 20, 47, 145, 143, 49, 166, 28, 170, 72, 46, 120, 50, 146, 142, 71, 96, 73]","[2, 3, 24, 23, 25, 22, 4, 26, 21, 168, 27, 5, 167, 169, 48, 144, 20, 47, 145, 143, 49, 166, 28, 170, 72, 46, 120, 50, 146, 142, 71, 96, 73]",[2],2,"[170, 168, 46, 50, 22, 26, 27, 167, 169, 144, 120, 47, 145, 143, 49, 166, 146, 142, 96]",[170],170,7.1668
H167,748,700,48,True,No,0,0,True,"[2, 24, 23, 3, 25, 22, 26, 4, 21, 48, 47, 27, 49, 168, 20, 72, 5, 144, 46, 50, 71, 169, 167, 73, 145, 96, 143, 120, 28, 95, 97, 119, 121, 70, 45, 74]","[2, 24, 23, 3, 25, 22, 26, 4, 21, 48, 47, 27, 49, 168, 20, 72, 5, 144, 46, 50, 71, 169, 167, 73, 145, 96, 143, 120, 28, 95, 97, 119, 121, 70, 45, 74]",[2],2,"[168, 46, 50, 22, 26, 144, 47, 27, 49, 120, 145, 71, 169, 167, 73, 96, 143, 95, 97, 119, 121, 70, 45, 74]",[168],168,7.1379
H168,748,700,48,True,No,0,0,True,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 4, 21, 72, 27, 46, 71, 73, 50, 96, 20, 95, 97, 70, 45, 74, 5, 28, 51, 120, 119, 144, 121, 94, 98, 69]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 4, 21, 72, 27, 46, 71, 73, 50, 96, 20, 95, 97, 70, 45, 74, 5, 28, 51, 120, 119, 144, 121, 94, 98, 69]",[2],2,"[144, 69, 50, 22, 26, 94, 98, 21, 27, 46, 71, 73, 96, 120, 95, 97, 70, 45, 74, 28, 51, 119, 121]",[144],144,7.0212
H169,748,700,48,True,No,0,0,True,"[2, 24, 23, 3, 25, 4, 22, 26, 21, 48, 20, 168, 47, 27, 144, 49, 5, 72, 167, 28, 143, 169, 145, 120, 96, 46, 71, 73, 50, 19, 119, 121, 95, 97, 192, 45]","[2, 24, 23, 3, 25, 4, 22, 26, 21, 48, 20, 168, 47, 27, 144, 49, 5, 72, 167, 28, 143, 169, 145, 120, 96, 46, 71, 73, 50, 19, 119, 121, 95, 97, 192, 45]",[2],2,"[192, 46, 50, 22, 26, 168, 120, 47, 27, 144, 49, 145, 167, 143, 169, 71, 73, 95, 119, 121, 97, 45]",[192],192,7.0661
H17,748,700,48,True,No,1,0,True,"[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 72, 4, 46, 71, 50, 27, 73, 96, 70, 45, 20, 95, 97, 74, 51, 120, 28, 5, 119, 94, 121, 98, 69, 144, 75]","[2, 24, 23, 25, 3, 22, 48, 26, 47, 49, 21, 72, 4, 46, 71, 50, 27, 73, 96, 70, 45, 20, 95, 97, 74, 51, 120, 28, 5, 119, 94, 121, 98, 69, 144, 75]",[2],2,"[144, 69, 75, 22, 26, 94, 98, 21, 46, 71, 50, 27, 73, 96, 70, 45, 120, 95, 97, 74, 51, 28, 119, 121]",[144],144,7.2237
H170,1008,960,48,True,No,1,1,True,"[24, 23, 2, 25, 48, 47, 72, 49, 22, 26, 3, 71, 96, 73, 46, 120, 95, 50, 97, 21, 144, 70, 119, 27, 121, 74, 4, 168, 143, 45, 94, 145, 98, 51, 192, 167, 169, 20, 118, 122, 69, 216, 191, 193, 75, 28, 142, 146, 240, 5]","[24, 23, 2, 25, 48, 47, 72, 49, 22, 26, 3, 71, 96, 73, 46, 120, 95, 50, 97, 21, 144, 70, 119, 27, 121, 74, 4, 168, 143, 45, 94, 145, 98, 51, 192, 167, 169, 20, 118, 122, 69, 216, 191, 193, 75, 28, 142, 146, 240, 5]",[24],24,"[240, 69, 75, 94, 216, 98, 22, 26, 142, 192, 146, 46, 95, 50, 97, 168, 144, 70, 119, 121, 74, 143, 45, 145, 51, 167, 169, 118, 122, 191, 193]",[240],240,9.3829
