unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,seasonality_type,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
Q28,43,35,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9847
Q280,48,40,8,True,No,1,1,True,mul,[12],[12],[12],12,[12],[12],12,1.9917
Q281,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9817
Q282,44,36,8,True,No,2,1,True,mul,[4],[4],[4],4,[4],[4],4,2.1263
Q283,44,36,8,True,No,2,1,True,add,"[4, 2]","[4, 2]",[4],4,[4],[4],4,2.1313
Q284,68,60,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.874
Q286,45,37,8,True,No,1,1,True,mul,"[4, 8]","[4, 8]",[4],4,[8],[8],8,2.2101
Q287,50,42,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1921
Q285,42,34,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.4066
Q288,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.868
Q289,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.1812
Q291,24,16,8,True,Maybe,1,0,False,,[],[1],[1],1,[1],[1],1,2.0126
Q290,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1273
Q29,45,37,8,True,No,1,1,True,mul,[4],[4],[4],4,[4],[4],4,2.2011
Q293,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9229
Q292,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9897
Q294,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9298
Q295,52,44,8,True,No,2,0,True,mul,[4],[4],[4],4,[4],[4],4,1.875
Q296,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9079
Q297,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.874
Q299,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8261
Q298,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8361
Q3,46,38,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9817
Q30,44,36,8,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.9827
Q300,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.88
Q301,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0046
Q302,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0455
Q305,52,44,8,True,No,1,1,True,add,[2],[2],[2],2,[2],[2],2,1.9707
Q304,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0465
Q303,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1882
Q306,24,16,8,True,Yes,0,0,False,,[],[1],[1],1,[1],[1],1,1.8989
Q307,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.883
Q308,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9687
Q309,52,44,8,True,No,2,0,True,mul,[4],[4],[4],4,[4],[4],4,2.244
Q310,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9408
Q31,44,36,8,True,No,2,1,True,add,"[2, 4]","[2, 4]",[2],2,[4],[4],4,2.0874
Q311,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0585
Q312,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.0485
Q314,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8929
Q313,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9727
Q315,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0376
Q316,52,44,8,True,No,1,2,True,mul,[2],[2],[2],2,[2],[2],2,1.8191
Q318,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7364
Q317,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7902
Q32,44,36,8,True,No,1,1,True,mul,"[4, 8]","[4, 8]",[4],4,[8],[8],8,1.875
Q319,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8999
Q320,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.884
Q321,24,16,8,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,1.8899
Q322,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9707
Q323,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9079
Q325,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7992
Q324,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9707
Q327,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8301
Q326,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9129
Q329,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.852
Q328,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9797
Q33,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8899
Q331,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7792
Q330,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.864
Q332,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8251
Q334,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.886
Q333,52,44,8,True,No,1,0,True,add,[2],[2],[2],2,[2],[2],2,1.9857
Q335,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0066
Q336,24,16,8,True,Maybe,0,0,False,,[],[1],[1],1,[1],[1],1,2.0076
Q337,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0226
Q338,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9248
Q34,44,36,8,True,No,1,1,True,add,[4],[4],[4],4,[4],[4],4,2.0595
Q339,52,44,8,True,No,2,0,True,mul,[4],[4],[4],4,[4],[4],4,2.23
Q340,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9977
Q341,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.0764
Q343,52,44,8,True,No,0,0,False,,[],[1],[1],1,[1],[1],1,1.9448
Q342,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.1074
Q344,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1921
Q345,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0745
Q347,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0585
Q346,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.237
Q348,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0555
Q349,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0705
Q350,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9318
Q35,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.1134
Q351,24,16,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9378
Q352,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9647
Q353,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8989
Q354,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.859
Q355,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.878
Q356,52,44,8,True,No,1,2,True,mul,[2],[2],[2],2,[2],[2],2,1.9637
Q358,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7862
Q357,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.1104
Q36,44,36,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.88
Q359,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,2.0076
Q360,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9917
Q361,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9179
Q362,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,2.1473
Q363,52,44,8,True,No,1,1,True,add,[2],[2],[2],2,[2],[2],2,2.0066
Q364,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9288
Q365,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8501
Q366,24,16,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.8022
Q367,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.7832
Q369,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8441
Q368,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9807
Q37,46,38,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9368
Q370,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.9239
Q371,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8919
Q372,52,44,8,True,No,2,0,False,,[],[1],[1],1,[1],[1],1,1.8421
Q373,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.853
Q374,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9747
Q375,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9388
Q376,52,44,8,True,No,1,0,False,,[],[1],[1],1,[1],[1],1,1.9458
