unique_id,len_total,len_train,len_test,strictly_positive,white_noise,lowercase_d,uppercase_d,seasonality_present,candidate_sps,significant_sps,all_sps,primary_sp,significant_sps_no_harmonics,all_sps_no_harmonics,primary_sp_no_harmonics,time_taken
M936,134,116,18,True,No,1,1,True,"[6, 3, 12, 9, 18, 24, 15]","[6, 3, 12, 9, 18, 24, 15]",[6],6,"[24, 18, 15]",[24],24,2.3008
M937,134,116,18,True,No,1,1,True,"[12, 24, 6, 36, 18]","[12, 24, 6, 36, 18]",[12],12,"[36, 24]",[36],36,2.249
M938,134,116,18,True,No,1,1,True,"[12, 6, 3, 24, 9, 18]","[12, 6, 3, 24, 9, 18]",[12],12,"[24, 18]",[24],24,2.4834
M939,134,116,18,True,No,1,1,True,"[6, 3, 12, 9, 18, 15, 24]","[6, 3, 12, 9, 18, 15, 24]",[6],6,"[24, 18, 15]",[24],24,2.5402
M94,69,51,18,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,2.3477
M940,134,116,18,True,No,1,1,True,"[12, 24, 6, 36, 48, 18]","[12, 24, 6, 36, 48, 18]",[12],12,"[48, 36]",[48],48,2.4904
M941,134,116,18,True,No,1,0,True,"[12, 24, 36, 48]","[12, 24, 36, 48]",[12],12,"[48, 36]",[48],48,2.4874
M942,134,116,18,True,No,1,0,True,"[12, 24, 36, 6, 3, 48]","[12, 24, 36, 6, 3, 48]",[12],12,"[48, 36]",[48],48,2.4894
M943,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5328
M944,134,116,18,True,No,1,1,True,"[12, 24, 36, 48]","[12, 24, 36, 48]",[12],12,"[48, 36]",[48],48,2.9187
M945,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.5417
M946,134,116,18,True,No,1,0,True,"[3, 14]","[3, 14]",[3],3,"[3, 14]",[3],3,2.433
M947,134,116,18,True,No,1,0,True,[18],[18],[18],18,[18],[18],18,2.453
M948,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.5931
M949,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.4824
M95,69,51,18,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,2.6659
M950,134,116,18,True,No,1,0,True,[41],[41],[41],41,[41],[41],41,2.8678
M951,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4879
M952,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5562
M953,134,116,18,True,No,1,0,True,"[3, 14]","[3, 14]",[3],3,"[3, 14]",[3],3,2.649
M954,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.4684
M955,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.5517
M956,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.6424
M957,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5307
M958,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.5148
M959,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.624
M96,69,51,18,True,Maybe,0,0,False,[],[1],[1],1,[1],[1],1,2.2819
M960,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4873
M961,134,116,18,True,No,1,0,True,"[8, 3]","[8, 3]",[8],8,"[8, 3]",[8],8,2.3906
M962,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.1891
M963,134,116,18,True,No,1,0,True,"[19, 14]","[19, 14]",[19],19,"[19, 14]",[19],19,2.4066
M964,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3796
M965,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.4175
M966,134,116,18,True,No,1,0,True,[14],[14],[14],14,[14],[14],14,2.3517
M967,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.239
M968,134,116,18,True,No,1,0,True,[23],[23],[23],23,[23],[23],23,2.252
M969,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.4674
M97,69,51,18,True,No,0,0,True,[12],[12],[12],12,[12],[12],12,2.3138
M970,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3607
M971,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3068
M972,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3288
M973,134,116,18,True,No,2,0,True,"[15, 6]","[15, 6]",[15],15,"[15, 6]",[15],15,2.4485
M974,134,116,18,True,No,1,0,True,"[6, 3, 12, 9]","[6, 3, 12, 9]",[6],6,"[12, 9]",[12],12,2.4624
M975,134,116,18,True,No,1,1,True,"[12, 6, 3, 9, 24]","[12, 6, 3, 9, 24]",[12],12,"[24, 9]",[24],24,2.1253
M976,134,116,18,True,No,1,0,True,"[3, 6, 12, 9, 18]","[3, 6, 12, 9, 18]",[3],3,"[18, 12]",[18],18,2.258
M977,134,116,18,True,No,1,0,True,"[2, 3, 4, 6, 5]","[2, 3, 4, 6, 5]",[2],2,"[6, 4, 5]",[6],6,2.243
M978,134,116,18,True,No,1,0,True,"[2, 3, 4, 6, 5]","[2, 3, 4, 6, 5]",[2],2,"[6, 4, 5]",[6],6,2.3038
M979,134,116,18,True,No,1,0,True,"[5, 2]","[5, 2]",[5],5,"[5, 2]",[5],5,2.3756
M98,69,51,18,True,Yes,0,0,False,[],[1],[1],1,[1],[1],1,2.2809
M980,134,116,18,True,No,0,0,True,"[2, 3, 4, 5, 6, 7, 8]","[2, 3, 4, 5, 6, 7, 8]",[2],2,"[8, 6, 5, 7]",[8],8,2.2071
M981,134,116,18,True,No,0,0,True,"[2, 3, 4, 5, 6, 7, 8]","[2, 3, 4, 5, 6, 7, 8]",[2],2,"[8, 6, 5, 7]",[8],8,2.249
M982,134,116,18,True,No,1,0,True,"[6, 4]","[6, 4]",[6],6,"[6, 4]",[6],6,2.2709
M983,134,116,18,True,No,1,0,True,"[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",[2],2,"[6, 4, 5]",[6],6,2.3607
M984,134,116,18,True,No,1,2,True,"[2, 3, 4, 6, 5]","[2, 3, 4, 6, 5]",[2],2,"[6, 4, 5]",[6],6,2.2859
M985,134,116,18,True,No,1,2,True,"[2, 6, 4, 3, 10, 5]","[2, 6, 4, 3, 10, 5]",[2],2,"[10, 6, 4]",[10],10,2.3627
M986,134,116,18,True,No,2,0,True,[6],[6],[6],6,[6],[6],6,2.3168
M987,134,116,18,True,No,2,0,True,[13],[13],[13],13,[13],[13],13,2.3028
M988,134,116,18,True,No,1,0,True,"[2, 3, 6, 4]","[2, 3, 6, 4]",[2],2,"[6, 4]",[6],6,2.5711
M989,134,116,18,True,No,2,0,True,[10],[10],[10],10,[10],[10],10,2.1712
M99,69,51,18,True,Yes,1,0,False,[],[1],[1],1,[1],[1],1,2.0605
M990,134,116,18,True,No,1,2,True,"[2, 4]","[2, 4]",[2],2,[4],[4],4,2.254
M991,134,116,18,True,No,1,0,True,[2],[2],[2],2,[2],[2],2,2.1871
M992,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.3677
M993,134,116,18,True,No,2,0,False,[],[1],[1],1,[1],[1],1,2.2729
M994,134,116,18,True,No,1,0,False,[],[1],[1],1,[1],[1],1,2.0784
M995,134,116,18,True,No,1,0,True,[2],[2],[2],2,[2],[2],2,2.3677
M996,134,116,18,True,No,1,0,True,"[3, 2]","[3, 2]",[3],3,"[3, 2]",[3],3,2.1502
M997,134,116,18,True,No,1,0,True,[20],[20],[20],20,[20],[20],20,2.0854
M998,134,116,18,True,No,1,0,True,[3],[3],[3],3,[3],[3],3,2.2829
M999,134,116,18,True,No,1,2,True,"[2, 4, 6]","[2, 4, 6]",[2],2,"[6, 4]",[6],6,2.0286
